id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
3314688,DAV,Lichens,,PreservedSpecimen,1776ba47-7989-4e39-b8fd-ec176a7c0919,DAV221674,,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Peltigerales|Collematineae|Collemataceae|Collema,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Collemataceae,Collema nigrescens,53526,(Hudson) DC.,Collema,,nigrescens,,,Species,Beth Beyer,Apr 2017,,,,,,Beth Beyer,,MCP100,2017/04/15,2017,4,15,105,,,,Oak savanna,Blue oak bark,,,,,,,,,,,,,,,,,United States,California,Napa,,Moore Creek Park. Off the trail leading up to the highest ridge. East side of the park.,,0,,38.5083,-122.3539,NAD83,,,,,,,,300,,,,,1000 ft,,,ucdherbarium,2021/11/16 11:21,,117,urn:uuid:1776ba47-7989-4e39-b8fd-ec176a7c0919,https://lichenportal.org/cnalh/collections/individual/index.php?occid=3314688
3314689,DAV,Lichens,,PreservedSpecimen,7ecfd8ee-9b67-44e9-9284-3b7253affd91,DAV221670,,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecanorales|Cladoniaceae|Cladonia,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia squamosa,53471,Hoffm.,Cladonia,,squamosa,,,Species,Benjamin Maples,April 2017,,,,,,Benjamin Maples,,MCP101,2017/04/15,2017,4,15,105,,,,cut bank,soil wall,Chemistry: K-,,,,,,,,,,,,,,,,USA,California,Napa,,Moore Creek Park - ~1.4 km due north of the easternmost corner of Lake Hennessey,,0,,38.499804,-122.354977,NAD83,,,,,,,,134,,,,,,,,ucdherbarium,2021/11/16 11:21,,117,urn:uuid:7ecfd8ee-9b67-44e9-9284-3b7253affd91,https://lichenportal.org/cnalh/collections/individual/index.php?occid=3314689
3314690,DAV,Lichens,,PreservedSpecimen,9bbbfc81-4bf1-4712-b171-8ae8fbd349f5,DAV221671,,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecanorales|Cladoniaceae|Cladonia,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia squamosa,53471,Hoffm.,Cladonia,,squamosa,,,Species,Lana Saykali,2017/05/11,,,,,,Lana Saykali,,MCP102,2017/05/11,2017,5,11,131,,,,Woodland,Dirt slope,"K-, P-, UV+",,,,,,,,,,,,,,,,USA,California,Napa,,"Moore Creek Park, on the ridge trail walking north to the peak",,0,,38.508348,-122.3539,NAD83,,,,,,,,,,,,,,,,ucdherbarium,2021/11/16 11:21,,117,urn:uuid:9bbbfc81-4bf1-4712-b171-8ae8fbd349f5,https://lichenportal.org/cnalh/collections/individual/index.php?occid=3314690
3314691,DAV,Lichens,,PreservedSpecimen,9b6d5a5e-b4dd-4dbd-a868-d3d7f6f786df,DAV221672,,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecanorales|Parmeliaceae|Parmelioideae|Evernia,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Evernia prunastri,54378,(L.) Ach.,Evernia,,prunastri,,,Species,Emma Hansen-Smith,2017/05/04,,,,,,Emma Hansen-Smith,,MCP103,2017/04/15,2017,4,15,105,,,,Riparian,Live Oak,,,,,,,,,,,,,,,,,USA,California,Napa,,"Moore Creek Park, along trail at south end of Moore Creek park",,0,,38.72916667,-122.43,NAD83,,,,,,,,368,,,,,,,,ucdherbarium,2021/11/16 11:21,,117,urn:uuid:9b6d5a5e-b4dd-4dbd-a868-d3d7f6f786df,https://lichenportal.org/cnalh/collections/individual/index.php?occid=3314691
3314692,DAV,Lichens,,PreservedSpecimen,4dfc962f-3c65-4a98-a701-7a1c8bff2054,DAV221684,,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecanorales|Parmeliaceae|Parmelioideae|Evernia,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Evernia prunastri,54378,(L.) Ach.,Evernia,,prunastri,,,Species,Lana Saykali,2017/05/11,,,,,,Lana Saykali,,MCP104,2017/05/11,2017,5,11,131,,,,Oak grove,Oak tree,,,,,,,,,,,,,,,,,USA,California,Napa,,"Moore Creek Park, in the oak grove along the ridge trail",,0,,38.508348,-122.3539,NAD83,,,,,,,,,,,,,,,,ucdherbarium,2021/11/16 11:21,,117,urn:uuid:4dfc962f-3c65-4a98-a701-7a1c8bff2054,https://lichenportal.org/cnalh/collections/individual/index.php?occid=3314692
3314693,DAV,Lichens,,PreservedSpecimen,65e0b9bb-fafd-4f96-bf41-fce0bfaec4c0,DAV221686,,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecanorales|Parmeliaceae|Parmelioideae|Flavoparmelia,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,54388,(L.) Hale,Flavoparmelia,,caperata,,,Species,Allie Weill,2017/04/20,,,,,,Allie Weill,,MCP105,2017/04/15,2017,4,15,105,,,,Riparian,Arctostaphylos sp.,"K-, KC-",,,,,,,,,,,,,,,,USA,California,Napa,,"Moore Creek Park, on the branches of a 10-15 ft manzanita, near a turn in the trail not long after creek crossing",,1,,38.507949,-122.355217,NAD83,,,,,,,,107,,,,,,,,ucdherbarium,2021/11/16 11:21,,117,urn:uuid:65e0b9bb-fafd-4f96-bf41-fce0bfaec4c0,https://lichenportal.org/cnalh/collections/individual/index.php?occid=3314693
3314694,DAV,Lichens,,PreservedSpecimen,f1f83aec-9cb3-415c-a572-a86c0e1e3693,DAV221685,,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Peltigerales|Collematineae|Collemataceae|Collema,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Collemataceae,Collema nigrescens,53526,(Hudson) DC.,Collema,,nigrescens,,,Species,Beth Beyer,2017/04/15,,,,,,Beth Beyer,,MCP106,2017/04/15,2017,4,15,105,,,,Oak savanna,Blue oak bark,,,,,,,,,,,,,,,,,USA,California,Napa,,"Moore Creek Park, off the trail leading up to the highest ridge. East side of the park.",,0,,38.5083,-122.3539,NAD83,,,,,,,,305,,,,,,,,ucdherbarium,2021/11/16 11:21,,117,urn:uuid:f1f83aec-9cb3-415c-a572-a86c0e1e3693,https://lichenportal.org/cnalh/collections/individual/index.php?occid=3314694
3314695,DAV,Lichens,,PreservedSpecimen,a3476bef-a9b2-445d-9a23-20a02c6f8abe,DAV221683,,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecanorales|Parmeliaceae|Parmelioideae|Flavopunctelia,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavopunctelia flaventior,54393,(Stirton) Hale,Flavopunctelia,,flaventior,,,Species,Beth Beyer,2017/04/15,,,,,,Beth Beyer,,MCP107,2017/04/15,2017,4,15,105,,,,Oak savanna,Bark,Med C+R,,,,,,,,,,,,,,,,USA,California,Napa,,"Moore Creek Park, blue oak savanna on the top of the highest ridge in the park.",,0,,38.5083,-122.3539,NAD83,,,,,,,,305,,,,,,,,ucdherbarium,2021/11/16 11:21,,117,urn:uuid:a3476bef-a9b2-445d-9a23-20a02c6f8abe,https://lichenportal.org/cnalh/collections/individual/index.php?occid=3314695
3314696,DAV,Lichens,,PreservedSpecimen,54ba4863-0739-47f7-8def-5329a32b6399,DAV221675,,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecanorales|Parmeliaceae|Parmelioideae|Flavopunctelia,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavopunctelia flaventior,54393,(Stirton) Hale,Flavopunctelia,,flaventior,,,Species,Emma Hansen-Smith,2017/05/04,,,,,,Emma Hansen-Smith,,MCP108,2017/04/15,2017,4,15,105,,,,Riparian,Live Oak,,,,,,,,,,,,,,,,,USA,California,Napa,,"Moore Creek Park, along the trail on the south end of Moore Creek Park.",,0,,38.733889,-122.433333,NAD83,,,,,,,,111,,,,,,,,ucdherbarium,2021/11/16 11:21,,117,urn:uuid:54ba4863-0739-47f7-8def-5329a32b6399,https://lichenportal.org/cnalh/collections/individual/index.php?occid=3314696
3314697,DAV,Lichens,,PreservedSpecimen,2c8f62b5-dbea-410d-997e-8805f00b6aaf,DAV221669,,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecanorales|Parmeliaceae|Parmelioideae|Flavopunctelia,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavopunctelia soredica,54395,(Nyl.) Hale,Flavopunctelia,,soredica,,,Species,Benjamin Maples,2017/04/15,,,,,,Benajmin Maples,,MCP109,2017/04/15,2017,4,15,105,,,,edge of a meadow,Valley oak tree,,,,,,,,,,,,,,,,,USA,California,Napa,,"Moore Creek Park, ~1.8 km due north of the easternmost corner of Lake Hennessey",,0,,38.503418,-122.354782,NAD83,,,,,,,,73,,,,,,,,ucdherbarium,2021/11/16 11:21,,117,urn:uuid:2c8f62b5-dbea-410d-997e-8805f00b6aaf,https://lichenportal.org/cnalh/collections/individual/index.php?occid=3314697
